author-name,rev-str,file,added-atoms,added-non-atoms
Sagi Grimberg,3,2,0,19
Konstantin Khlebnikov,1,2,0,0
Dave Chinner,4,8,5,118
Andrey Ryabinin,2,6,0,13
Linus Walleij,3,9,0,1
Paolo Abeni,3,8,6,283
Yan Markman,1,1,0,17
Chen-Yu Tsai,2,2,0,56
Niklas Söderlund,2,2,0,0
Or Gerlitz,3,3,7,384
Boris Brezillon,2,2,1,30
Vadim Fedorenko,1,1,0,18
Wanpeng Li,1,1,1,10
Florian Westphal,1,1,0,0
Vivien Didelot,2,2,3,57
Guillaume Nault,6,5,9,107
Stefan Roese,1,1,0,6
Kazuya Mizuguchi,1,1,0,10
Paul E. McKenney,4,7,2,16
Quinn Tran,1,1,1,10
Alexey Kardashevskiy,1,1,3,36
Benjamin Coddington,1,1,1,9
Al Viro,4,3,1,51
John Fastabend,7,12,6,199
Alex Vesker,1,2,0,89
Dexuan Cui,3,2,3,86
Haozhong Zhang,1,1,0,0
Alex Estrin,2,2,0,0
Darrick J. Wong,5,4,8,143
Omar Sandoval,3,3,1,16
Shrirang Bagul,1,1,0,41
Paul Cercueil,1,1,0,38
Stephen Hemminger,1,1,0,0
Yang Shi,1,1,0,0
Shu Wang,1,1,0,0
Joe Lawrence,1,1,4,125
Leonard Crestez,1,1,0,0
Damien Riegel,1,1,4,58
J. Bruce Fields,1,1,0,0
Mauro Carvalho Chehab,1,1,2,48
YASUAKI ISHIMATSU,2,2,0,0
Casey Schaufler,1,2,2,15
Gustavo A. R. Silva,1,1,0,0
Shanker Donthineni,3,2,2,103
James Hogan,1,5,0,0
Chris Wilson,5,4,5,68
Nicolas Pitre,2,3,0,0
Alan Stern,12,11,30,511
Stefano Brivio,2,2,0,0
Li Zhijian,2,2,0,0
Laurent Pinchart,1,1,0,2
Reza Arbab,1,1,0,1
Fabrice Gasnier,3,2,0,14
Jan Beulich,1,1,2,81
Richard Genoud,1,1,0,2
Takashi Sakamoto,1,1,0,5
Douglas Anderson,3,1,4,172
Clemens Gruber,1,1,0,0
Golan Ben Ami,1,2,0,80
Chanho Min,1,1,2,81
Antoine Tenart,3,2,0,82
Doug Berger,2,2,1,107
Cédric Le Goater,2,2,0,8
Sudip Mukherjee,4,4,0,35
Mustafa Ismail,3,6,0,48
Shawn Lin,1,3,0,0
