proj,in-function,comment,atom,count
clang,true,true,logic-as-control-flow,25
git,true,false,comma-operator,185
httpd,true,true,implicit-predicate,30
linux,true,true,comma-operator,51
clang,true,true,operator-precedence,566
gecko-dev,true,true,literal-encoding,36
mongo,false,false,operator-precedence,392
mongo,true,true,comma-operator,19
mysql-server,true,false,conditional,6267
webkit,false,true,operator-precedence,12
clang,false,true,pre-increment,20
nginx,true,true,conditional,1
webkit,false,false,omitted-curly-braces,29
mongo,false,false,,3640796
clang,false,true,macro-operator-precedence,10
clang,true,false,operator-precedence,11118
webkit,true,true,operator-precedence,408
linux,false,false,,13766324
clang,true,false,repurposed-variable,1619
clang,true,true,post-increment,100
emacs,true,false,conditional,1487
webkit,true,true,literal-encoding,4
clang,false,true,literal-encoding,1
mysql-server,true,true,assignment-as-value,185
vim,true,false,assignment-as-value,444
vim,true,true,preprocessor-in-statement,15
clang,false,true,operator-precedence,124
clang,false,true,assignment-as-value,26
httpd,true,true,comma-operator,3
subversion,true,true,operator-precedence,36
clang,false,false,operator-precedence,597
linux,false,true,,1795087
emacs,true,false,pre-increment,202
vim,true,false,reversed-subscript,2
httpd,false,false,type-conversion,1
webkit,true,false,operator-precedence,33554
git,true,true,pre-increment,3
linux,true,true,,686155
mysql-server,false,false,operator-precedence,275
clang,false,false,macro-operator-precedence,60
gecko-dev,true,false,repurposed-variable,9627
linux,true,false,comma-operator,6484
freebsd,false,true,,1232766
emacs,true,false,operator-precedence,4317
git,true,true,operator-precedence,71
subversion,false,false,omitted-curly-braces,8
git,true,false,macro-operator-precedence,1
gcc,true,true,conditional,663
mongo,true,false,pre-increment,974
emacs,true,false,comma-operator,563
emacs,true,false,omitted-curly-braces,12388
gcc,true,false,repurposed-variable,11660
mysql-server,true,false,logic-as-control-flow,646
git,true,false,post-increment,742
gecko-dev,true,true,pre-increment,70
httpd,true,true,assignment-as-value,31
gcc,true,false,omitted-curly-braces,174252
emacs,false,false,repurposed-variable,12
linux,true,false,macro-operator-precedence,23
mysql-server,true,false,implicit-predicate,5588
gcc,true,false,pre-increment,1761
vim,false,true,operator-precedence,1
freebsd,true,true,preprocessor-in-statement,49
emacs,true,false,post-increment,754
vim,true,true,assignment-as-value,23
emacs,false,false,omitted-curly-braces,24
mongo,true,true,literal-encoding,96
gecko-dev,true,false,assignment-as-value,10272
clang,false,false,post-increment,7
mysql-server,false,true,comma-operator,2
vim,true,true,omitted-curly-braces,611
git,true,true,comma-operator,1
git,true,false,implicit-predicate,2766
linux,false,false,omitted-curly-braces,92
nginx,true,false,logic-as-control-flow,6
freebsd,false,true,conditional,1
