proj,in-function,comment,atom,count
freebsd,false,true,operator-precedence,153
nginx,true,true,post-increment,8
linux,false,false,conditional,30
git,true,false,pre-increment,209
mysql-server,true,false,preprocessor-in-statement,220
gecko-dev,true,true,logic-as-control-flow,59
freebsd,false,false,post-increment,4
clang,true,false,comma-operator,1717
clang,true,false,operator-precedence,11017
mongo,false,false,comma-operator,601
subversion,true,true,post-increment,17
linux,true,true,repurposed-variable,705
emacs,true,false,repurposed-variable,959
linux,true,true,preprocessor-in-statement,13
mysql-server,true,false,omitted-curly-braces,36712
webkit,false,false,implicit-predicate,346
linux,true,true,omitted-curly-braces,10415
mysql-server,true,true,,387272
clang,false,true,implicit-predicate,25
clang,true,false,pre-increment,246
linux,true,true,operator-precedence,6979
vim,true,false,implicit-predicate,963
subversion,true,true,omitted-curly-braces,254
clang,false,false,conditional,7
webkit,true,false,implicit-predicate,3198
nginx,false,false,,117149
gecko-dev,true,true,preprocessor-in-statement,13
mongo,true,true,,328290
gecko-dev,true,false,pre-increment,2638
linux,false,false,pre-increment,5
webkit,false,false,type-conversion,19
linux,false,true,type-conversion,227
webkit,true,false,type-conversion,594
freebsd,true,false,operator-precedence,218798
gecko-dev,true,true,assignment-as-value,315
gecko-dev,false,false,comma-operator,384
httpd,false,false,implicit-predicate,38
gecko-dev,true,false,type-conversion,1751
linux,false,false,assignment-as-value,14
mysql-server,false,false,operator-precedence,261
subversion,true,false,pre-increment,86
gcc,false,false,omitted-curly-braces,1
subversion,true,true,assignment-as-value,9
gecko-dev,true,true,operator-precedence,2744
webkit,false,false,logic-as-control-flow,1
emacs,true,false,preprocessor-in-statement,131
nginx,true,false,pre-increment,78
linux,true,false,,60230652
mongo,true,false,repurposed-variable,2570
freebsd,true,false,preprocessor-in-statement,4528
mysql-server,false,false,conditional,2
git,false,false,comma-operator,4
clang,false,false,assignment-as-value,17
git,true,false,,1057179
vim,false,false,,89541
mysql-server,true,true,macro-operator-precedence,28
mysql-server,true,true,operator-precedence,1106
clang,true,true,logic-as-control-flow,28
gecko-dev,true,false,post-increment,9433
webkit,true,true,pre-increment,42
gecko-dev,false,false,implicit-predicate,2
webkit,true,false,omitted-curly-braces,68840
linux,false,false,post-increment,2
vim,true,true,post-increment,91
subversion,true,false,comma-operator,89
gecko-dev,false,false,pre-increment,2
vim,true,true,logic-as-control-flow,3
vim,true,false,pre-increment,148
linux,false,false,comma-operator,1316
clang,true,true,repurposed-variable,480
subversion,true,true,repurposed-variable,11
gcc,false,false,operator-precedence,875
emacs,true,true,logic-as-control-flow,21
linux,true,false,preprocessor-in-statement,2228
clang,false,true,comma-operator,52
freebsd,false,false,pre-increment,5
httpd,true,false,post-increment,547
emacs,true,true,comma-operator,22
httpd,true,true,comma-operator,7
gcc,false,false,operator-precedence,62
mongo,true,true,type-conversion,24
linux,true,false,macro-operator-precedence,338
gecko-dev,true,false,repurposed-variable,10486
freebsd,true,false,assignment-as-value,40837
gcc,false,false,pre-increment,1
clang,false,false,operator-precedence,1
gecko-dev,true,true,pre-increment,148
git,true,true,post-increment,16
emacs,true,false,,1123064
httpd,true,false,conditional,1100
clang,false,false,type-conversion,1
git,true,false,logic-as-control-flow,97
mysql-server,true,false,type-conversion,419
gcc,true,false,repurposed-variable,13523
freebsd,false,false,conditional,97
mysql-server,true,true,logic-as-control-flow,39
webkit,true,false,post-increment,2405
mongo,true,true,post-increment,237
git,true,true,implicit-predicate,32
httpd,true,false,macro-operator-precedence,16
clang,true,false,omitted-curly-braces,57279
mongo,false,false,literal-encoding,48
mongo,true,true,conditional,192
emacs,true,false,pre-increment,194
clang,true,false,assignment-as-value,1150
gcc,true,true,operator-precedence,2111
emacs,false,false,operator-precedence,9
git,true,true,omitted-curly-braces,332
mysql-server,true,false,macro-operator-precedence,267
mysql-server,false,false,comma-operator,60
git,true,true,operator-precedence,138
subversion,false,false,conditional,1
mongo,false,true,operator-precedence,197
linux,true,true,assignment-as-value,525
linux,true,true,literal-encoding,62
linux,false,false,type-conversion,106
emacs,true,true,repurposed-variable,25
clang,false,false,post-increment,7
gcc,true,false,post-increment,8393
clang,false,true,literal-encoding,1
mongo,true,false,,8577052
linux,true,false,conditional,42009
subversion,false,false,operator-precedence,13
linux,false,false,operator-precedence,156
clang,false,false,omitted-curly-braces,19
freebsd,false,false,assignment-as-value,45
mysql-server,false,false,type-conversion,3
freebsd,true,false,literal-encoding,406
gcc,false,false,implicit-predicate,31
gecko-dev,false,false,assignment-as-value,14
gcc,true,true,reversed-subscript,19
mysql-server,true,false,pre-increment,775
mongo,false,true,,209863
nginx,true,true,comma-operator,5
gecko-dev,true,true,repurposed-variable,470
clang,false,true,assignment-as-value,31
emacs,false,false,assignment-as-value,1
linux,true,true,logic-as-control-flow,63
mongo,false,false,,3619670
gcc,true,false,reversed-subscript,11
httpd,true,true,conditional,15
emacs,true,false,assignment-as-value,933
subversion,true,false,assignment-as-value,456
clang,true,true,type-conversion,438
linux,true,false,type-conversion,2079
webkit,true,false,operator-precedence,33300
mongo,true,true,repurposed-variable,227
subversion,false,false,implicit-predicate,57
linux,false,false,assignment-as-value,33
gecko-dev,false,false,implicit-predicate,1025
emacs,true,false,implicit-predicate,1446
freebsd,false,false,comma-operator,1651
emacs,true,false,post-increment,741
webkit,true,true,literal-encoding,5
mysql-server,true,true,omitted-curly-braces,2145
emacs,true,false,conditional,1476
clang,false,false,conditional,656
mysql-server,false,false,assignment-as-value,6
gcc,false,false,literal-encoding,42
gecko-dev,false,false,conditional,77
vim,true,false,type-conversion,5
httpd,true,true,assignment-as-value,43
emacs,true,true,implicit-predicate,64
gcc,true,false,pre-increment,1745
nginx,true,false,logic-as-control-flow,6
webkit,true,true,,188052
vim,true,true,repurposed-variable,73
webkit,false,false,comma-operator,1290
git,false,false,,101299
vim,false,false,conditional,3
nginx,false,false,comma-operator,2
webkit,true,true,post-increment,82
emacs,true,false,macro-operator-precedence,1
subversion,true,true,operator-precedence,73
vim,true,false,preprocessor-in-statement,123
subversion,true,false,repurposed-variable,276
gcc,false,true,type-conversion,35
mongo,false,false,operator-precedence,30
subversion,false,false,omitted-curly-braces,8
emacs,true,false,operator-precedence,4270
clang,true,false,logic-as-control-flow,65
freebsd,true,true,pre-increment,325
gcc,true,true,omitted-curly-braces,4702
vim,true,false,omitted-curly-braces,6584
mysql-server,true,false,repurposed-variable,1779
emacs,true,false,comma-operator,608
mysql-server,false,true,comma-operator,2
emacs,false,false,conditional,5
gecko-dev,true,true,type-conversion,90
httpd,true,true,operator-precedence,101
mysql-server,true,false,implicit-predicate,5481
gcc,true,true,logic-as-control-flow,18
gecko-dev,false,false,omitted-curly-braces,51
git,true,false,macro-operator-precedence,27
vim,true,true,conditional,31
linux,false,false,implicit-predicate,4768
webkit,true,false,macro-operator-precedence,338
vim,true,false,reversed-subscript,2
httpd,false,true,,15034
gcc,false,false,type-conversion,2
emacs,true,false,type-conversion,367
mysql-server,true,false,literal-encoding,10
vim,true,true,preprocessor-in-statement,18
gecko-dev,true,true,literal-encoding,47
gecko-dev,true,false,implicit-predicate,11337
git,false,false,operator-precedence,3
gecko-dev,true,false,assignment-as-value,10703
clang,true,true,conditional,610
vim,false,false,comma-operator,2
git,false,false,assignment-as-value,1
freebsd,false,true,,1642062
freebsd,true,true,comma-operator,879
httpd,false,false,omitted-curly-braces,1
mysql-server,true,true,preprocessor-in-statement,10
subversion,true,false,logic-as-control-flow,24
webkit,true,false,pre-increment,1158
mongo,true,false,logic-as-control-flow,433
mongo,true,true,macro-operator-precedence,1
httpd,true,true,logic-as-control-flow,3
linux,false,false,implicit-predicate,11
mysql-server,true,false,operator-precedence,21342
webkit,false,false,omitted-curly-braces,22
httpd,false,false,,101748
emacs,true,true,pre-increment,11
gcc,true,false,conditional,14097
clang,false,false,implicit-predicate,17
gecko-dev,false,false,comma-operator,803
vim,true,true,assignment-as-value,34
mongo,true,false,post-increment,2894
webkit,true,false,,11457921
nginx,true,false,comma-operator,58
freebsd,true,true,post-increment,1235
linux,false,false,omitted-curly-braces,80
subversion,false,false,operator-precedence,1
mongo,false,false,logic-as-control-flow,1
webkit,false,false,literal-encoding,33
gecko-dev,true,false,preprocessor-in-statement,1284
linux,true,true,conditional,853
httpd,true,true,preprocessor-in-statement,1
httpd,true,false,logic-as-control-flow,171
mongo,false,false,pre-increment,1
mongo,true,false,operator-precedence,17986
emacs,false,false,omitted-curly-braces,13
clang,true,true,implicit-predicate,565
git,true,false,assignment-as-value,688
mysql-server,false,false,macro-operator-precedence,100
mysql-server,true,false,,7992929
mysql-server,false,true,operator-precedence,6
freebsd,false,false,operator-precedence,152
mongo,false,false,conditional,3
clang,true,true,omitted-curly-braces,2257
freebsd,false,false,macro-operator-precedence,359
freebsd,true,false,,53492879
freebsd,false,false,comma-operator,26
mysql-server,false,false,comma-operator,2
nginx,true,false,implicit-predicate,50
freebsd,false,false,,20379254
