selection,parent-type,node-type,child-type,count
operator-precedence,lessThan,field-reference,,3
operator-precedence,binaryXor,star,field-reference,2
superfluous-parens,binaryOr,bracketedPrimary,lessThan,41
parens,binaryXor,bracketedPrimary,binaryOrAssign,1
parens,<ConstructorInitializer>,bracketedPrimary,plusAssign,1
superfluous-parens,binaryOr,bracketedPrimary,notequals,59
parens,multiply,bracketedPrimary,<TypeIdExpression>,122
operator-precedence,minus1,tilde,array-subscript,1
parens,conditional,bracketedPrimary,shiftRight,160
parens,shiftRightAssign,bracketedPrimary,multiply,17
superfluous-parens,minus2,bracketedPrimary,minus1,55
parens,amper,bracketedPrimary,<IdExpression>,235
superfluous-parens,binaryAnd,bracketedPrimary,minus2,7921
parens,binaryAnd,bracketedPrimary,shiftLeft,12449
operator-precedence,star,postFixIncr,bracketedPrimary,225
parens,not,bracketedPrimary,array-subscript,76
superfluous-parens,lessEqual,bracketedPrimary,sizeof,2
operator-precedence,shiftLeft,star,cast,30
operator-precedence,greaterThan,not,not,7
superfluous-parens,plus2,bracketedPrimary,minus2,1022
operator-precedence,expression-list,field-reference,,8684
superfluous-parens,function-call,bracketedPrimary,equals,784
parens,<ArrayModifier>,bracketedPrimary,bracketedPrimary,1
parens,not,bracketedPrimary,postFixIncr,3
parens,not,bracketedPrimary,field-reference,725
parens,delete,bracketedPrimary,<IdExpression>,39
parens,array-subscript,bracketedPrimary,not,1
superfluous-parens,binaryAnd,bracketedPrimary,star,248
parens,<ReturnStatement>,bracketedPrimary,<TypeIdInitializerExpression>,2
parens,<EqualsInitializer>,bracketedPrimary,throw,1
parens,field-reference,bracketedPrimary,<SimpleTypeConstructorExpression>,1
operator-precedence,expression-list,minusAssign,,562
operator-precedence,logicalOr,not,postFixIncr,3
parens,not,bracketedPrimary,bracketedPrimary,121
parens,function-call,bracketedPrimary,binaryOrAssign,2
parens,<ExpressionStatement>,bracketedPrimary,function-call,65
parens,array-subscript,bracketedPrimary,array-subscript,29
superfluous-parens,bracketedPrimary,bracketedPrimary,minus2,49
parens,shiftLeft,bracketedPrimary,minus2,6709
superfluous-parens,plusAssign,bracketedPrimary,<TypeIdExpression>,8
parens,greaterThan,bracketedPrimary,postFixIncr,26
operator-precedence,expression-list,prefixIncr,array-subscript,3
superfluous-parens,binaryAnd,bracketedPrimary,notequals,47
parens,multiply,bracketedPrimary,prefixDecr,8
parens,notequals,bracketedPrimary,array-subscript,19
parens,minus2,bracketedPrimary,<LiteralExpression>,1137
parens,tilde,bracketedPrimary,field-reference,122
parens,logicalOr,bracketedPrimary,star,12
operator-precedence,plus2,tilde,minus1,1
superfluous-parens,divideAssign,bracketedPrimary,<IdExpression>,2
parens,<ReturnStatement>,bracketedPrimary,<IdExpression>,82925
operator-precedence,logicalAnd,greaterThan,,665
parens,modulo,bracketedPrimary,field-reference,41
superfluous-parens,shiftLeft,bracketedPrimary,not,51
parens,bracketedPrimary,bracketedPrimary,cast,12218
operator-precedence,multiply,plus1,bracketedPrimary,1
parens,logicalOr,bracketedPrimary,assign,476
superfluous-parens,bracketedPrimary,bracketedPrimary,<LiteralExpression>,24
parens,<PackExpansionExpression>,bracketedPrimary,expression-list,12
parens,binaryAnd,bracketedPrimary,plusAssign,1
operator-precedence,logicalAnd,binaryXor,,21
operator-precedence,conditional,minus1,array-subscript,30
superfluous-parens,binaryAnd,bracketedPrimary,modulo,27
parens,cast,bracketedPrimary,divideAssign,7
operator-precedence,expression-list,assign,,22111
parens,assign,bracketedPrimary,new,2
operator-precedence,logicalOr,not,tilde,12
parens,minus1,bracketedPrimary,greaterEqual,12
superfluous-parens,modulo,bracketedPrimary,divide,337
parens,minus1,bracketedPrimary,minus2,265
parens,logicalOr,bracketedPrimary,binaryAnd,6442
parens,function-call,bracketedPrimary,plus1,1
parens,expression-list,bracketedPrimary,plus2,7
operator-precedence,plus2,not,<IdExpression>,67
operator-precedence,shiftLeft,tilde,<LiteralExpression>,126
parens,binaryAndAssign,bracketedPrimary,not,5
parens,delete,bracketedPrimary,array-subscript,4
superfluous-parens,lessThan,bracketedPrimary,star,81
parens,<Enumerator>,bracketedPrimary,divide,6
parens,divideAssign,bracketedPrimary,star,3
parens,binaryXorAssign,bracketedPrimary,plus2,2
parens,field-reference,bracketedPrimary,not,2
superfluous-parens,conditional,bracketedPrimary,moduloAssign,1
parens,multiply,bracketedPrimary,shiftLeftAssign,3
parens,<ForStatement>,bracketedPrimary,conditional,1
parens,tilde,bracketedPrimary,logicalOr,5
parens,binaryXorAssign,bracketedPrimary,shiftRight,194
operator-precedence,expression-list,lessEqual,,3
superfluous-parens,tilde,bracketedPrimary,star,68
parens,<WhileStatement>,bracketedPrimary,greaterEqual,1
parens,binaryXor,bracketedPrimary,shiftLeft,691
superfluous-parens,assign,bracketedPrimary,divideAssign,2
superfluous-parens,shiftLeft,bracketedPrimary,array-subscript,85
operator-precedence,not,minus1,<LiteralExpression>,1
parens,<EqualsInitializer>,bracketedPrimary,expression-list,94
superfluous-parens,logicalAnd,bracketedPrimary,plus2,13
operator-precedence,minus2,tilde,<LiteralExpression>,25
parens,binaryOr,bracketedPrimary,minus1,13
parens,<SimpleDeclSpecifier>,bracketedPrimary,expression-list,10
parens,<EqualsInitializer>,bracketedPrimary,lessEqual,21
parens,shiftLeft,bracketedPrimary,shiftLeft,518
superfluous-parens,plus2,bracketedPrimary,bracketedPrimary,87
operator-precedence,conditional,binaryAnd,,4287
parens,binaryOr,bracketedPrimary,binaryXor,230
parens,binaryOr,bracketedPrimary,multiply,170
parens,binaryOrAssign,bracketedPrimary,bracketedPrimary,50
parens,<ArrayModifier>,bracketedPrimary,conditional,5
operator-precedence,logicalOr,postFixIncr,<IdExpression>,1
superfluous-parens,conditional,bracketedPrimary,binaryAndAssign,6
operator-precedence,equals,tilde,array-subscript,3
superfluous-parens,conditional,bracketedPrimary,divideAssign,1
parens,binaryXor,bracketedPrimary,greaterThan,41
superfluous-parens,assign,bracketedPrimary,<LiteralExpression>,71
superfluous-parens,modulo,bracketedPrimary,array-subscript,4
operator-precedence,greaterEqual,not,<IdExpression>,35
parens,function-call,bracketedPrimary,binaryOr,3005
operator-precedence,amper,postFixIncr,<IdExpression>,1
superfluous-parens,binaryXorAssign,bracketedPrimary,lessThan,1
superfluous-parens,greaterThan,bracketedPrimary,minus2,1363
superfluous-parens,minusAssign,bracketedPrimary,cast,2
parens,binaryOr,bracketedPrimary,shiftLeft,38920
parens,binaryOr,bracketedPrimary,binaryAnd,12838
parens,pmarrow,bracketedPrimary,star,6
superfluous-parens,logicalOr,bracketedPrimary,<LiteralExpression>,10
parens,bracketedPrimary,bracketedPrimary,amper,1224
parens,sizeof,bracketedPrimary,pmarrow,1
superfluous-parens,minus2,bracketedPrimary,not,6
parens,binaryXor,bracketedPrimary,modulo,2
operator-precedence,logicalAnd,not,tilde,2
parens,divideAssign,bracketedPrimary,<IdExpression>,2
parens,<EqualsInitializer>,bracketedPrimary,equals,1514
parens,assign,bracketedPrimary,plus2,1814
parens,prefixIncr,bracketedPrimary,star,333
parens,logicalAnd,bracketedPrimary,notequals,14343
parens,binaryAndAssign,bracketedPrimary,binaryXor,4
operator-precedence,logicalOr,field-reference,,307
parens,notequals,bracketedPrimary,lessEqual,26
parens,plus2,bracketedPrimary,notequals,290
operator-precedence,conditional,shiftRight,,273
parens,tilde,bracketedPrimary,assign,1
parens,logicalAnd,bracketedPrimary,<LiteralExpression>,13
operator-precedence,shiftRight,star,cast,23
superfluous-parens,array-subscript,bracketedPrimary,divide,39
parens,<WhileStatement>,bracketedPrimary,function-call,3
parens,<EqualsInitializer>,bracketedPrimary,assign,16
parens,array-subscript,bracketedPrimary,binaryXor,2
parens,binaryAndAssign,bracketedPrimary,lessThan,11
parens,tilde,bracketedPrimary,divide,19
parens,conditional,bracketedPrimary,equals,10924
parens,<ExpressionStatement>,bracketedPrimary,star,3
parens,lessEqual,bracketedPrimary,lessEqual,19
operator-precedence,logicalOr,greaterThan,,655
parens,<TemplateId>,bracketedPrimary,greaterEqual,9
parens,lessThan,bracketedPrimary,logicalOr,2
operator-precedence,binaryOr,lessEqual,,20
superfluous-parens,function-call,bracketedPrimary,star,639
operator-precedence,binaryXor,star,bracketedPrimary,47
parens,minus1,bracketedPrimary,logicalOr,2
parens,greaterEqual,bracketedPrimary,greaterThan,1
parens,cast,bracketedPrimary,minusAssign,9
operator-precedence,binaryAnd,notequals,,36
parens,lessThan,bracketedPrimary,cast,83
parens,logicalAnd,bracketedPrimary,shiftRight,12
superfluous-parens,conditional,bracketedPrimary,throw,8
parens,divide,bracketedPrimary,modulo,186
superfluous-parens,minusAssign,bracketedPrimary,binaryOr,1
parens,multiply,bracketedPrimary,plus1,2
superfluous-parens,plus2,bracketedPrimary,cast,1783
parens,field-reference,bracketedPrimary,lessThan,7
superfluous-parens,equals,bracketedPrimary,minus1,28
superfluous-parens,binaryOrAssign,bracketedPrimary,modulo,2
parens,equals,bracketedPrimary,shiftLeft,661
superfluous-parens,minus1,bracketedPrimary,array-subscript,3
superfluous-parens,minus2,bracketedPrimary,function-call,35
parens,throw,bracketedPrimary,<LiteralExpression>,9
superfluous-parens,binaryOr,bracketedPrimary,array-subscript,208
parens,<IfStatement>,bracketedPrimary,plusAssign,4
parens,tilde,bracketedPrimary,postFixIncr,1
parens,multiply,bracketedPrimary,bracketedPrimary,71
superfluous-parens,star,bracketedPrimary,new,21
parens,greaterEqual,bracketedPrimary,cast,76
parens,conditional,bracketedPrimary,postFixIncr,2
operator-precedence,star,prefixIncr,field-reference,575
parens,plus2,bracketedPrimary,star,232
parens,<FieldDeclarator>,bracketedPrimary,<IdExpression>,2
superfluous-parens,prefixDecr,bracketedPrimary,array-subscript,8
superfluous-parens,binaryXor,bracketedPrimary,minus2,119
operator-precedence,shiftRight,minus1,bracketedPrimary,12
operator-precedence,expression-list,shiftLeft,,66
operator-precedence,expression-list,star,<LiteralExpression>,621
parens,plus2,bracketedPrimary,cast,1808
parens,plus2,bracketedPrimary,prefixIncr,3
parens,binaryAnd,bracketedPrimary,shiftRightAssign,15
parens,shiftRight,bracketedPrimary,<LambdaExpression>,1
operator-precedence,binaryXor,not,field-reference,17
parens,<EqualsInitializer>,bracketedPrimary,binaryOrAssign,1
parens,<IfStatement>,bracketedPrimary,not,39
parens,function-call,bracketedPrimary,tilde,23
superfluous-parens,binaryAnd,bracketedPrimary,greaterEqual,51
parens,<Enumerator>,bracketedPrimary,minus1,45
superfluous-parens,greaterEqual,bracketedPrimary,cast,75
operator-precedence,expression-list,assign,multiply,1
parens,prefixIncr,bracketedPrimary,prefixDecr,1
parens,amper,bracketedPrimary,pmdot,9
superfluous-parens,lessEqual,bracketedPrimary,lessEqual,9
parens,<SimpleDeclSpecifier>,bracketedPrimary,star,159
operator-precedence,binaryOr,minus1,cast,1
parens,star,bracketedPrimary,postFixDecr,47
superfluous-parens,conditional,bracketedPrimary,star,93
operator-precedence,logicalAnd,equals,,4097
parens,<ArrayModifier>,bracketedPrimary,divide,32
superfluous-parens,binaryXorAssign,bracketedPrimary,binaryAnd,24
parens,modulo,bracketedPrimary,logicalAnd,3
superfluous-parens,assign,bracketedPrimary,logicalAnd,1021
operator-precedence,shiftRight,star,bracketedPrimary,48
parens,conditional,bracketedPrimary,sizeof,2
superfluous-parens,function-call,bracketedPrimary,<TypeIdExpression>,51
parens,minus1,bracketedPrimary,function-call,19
operator-precedence,conditional,logicalAnd,,1450
parens,greaterEqual,bracketedPrimary,greaterEqual,2
operator-precedence,conditional,minus1,bracketedPrimary,64
parens,greaterEqual,bracketedPrimary,divideAssign,1
parens,equals,bracketedPrimary,binaryXor,132
superfluous-parens,divide,bracketedPrimary,<LiteralExpression>,38
parens,array-subscript,bracketedPrimary,multiply,28
parens,equals,bracketedPrimary,modulo,1499
parens,minusAssign,bracketedPrimary,greaterThan,25
operator-precedence,binaryOr,tilde,function-call,29
parens,function-call,bracketedPrimary,<TypeIdInitializerExpression>,143
parens,assign,bracketedPrimary,field-reference,1253
operator-precedence,shiftLeft,shiftLeft,,2229
parens,<ReturnStatement>,bracketedPrimary,<LambdaExpression>,17
parens,plusAssign,bracketedPrimary,minus1,3
superfluous-parens,bracketedPrimary,bracketedPrimary,cast,117
parens,cast,bracketedPrimary,greaterEqual,82
operator-precedence,binaryOr,tilde,cast,5
parens,function-call,bracketedPrimary,logicalAnd,177
operator-precedence,amper,prefixIncr,field-reference,1
parens,equals,bracketedPrimary,assign,13566
operator-precedence,notequals,not,array-subscript,6
operator-precedence,conditional,minus1,<LiteralExpression>,5109
superfluous-parens,not,bracketedPrimary,postFixIncr,3
superfluous-parens,tilde,bracketedPrimary,function-call,263
superfluous-parens,throw,bracketedPrimary,expression-list,1
parens,shiftLeft,bracketedPrimary,not,51
superfluous-parens,not,bracketedPrimary,<LiteralExpression>,24
superfluous-parens,minusAssign,bracketedPrimary,divide,21
operator-precedence,expression-list,star,postFixIncr,28
parens,shiftLeftAssign,bracketedPrimary,<IdExpression>,1
superfluous-parens,minus2,bracketedPrimary,<IdExpression>,4093
superfluous-parens,shiftRight,bracketedPrimary,<LambdaExpression>,1
operator-precedence,equals,not,function-call,153
operator-precedence,plus2,tilde,field-reference,12
superfluous-parens,lessEqual,bracketedPrimary,minus2,470
superfluous-parens,plus2,bracketedPrimary,sizeof,9
parens,notequals,bracketedPrimary,modulo,615
parens,modulo,bracketedPrimary,<TypeIdExpression>,2
parens,shiftRight,bracketedPrimary,divide,148
parens,greaterThan,bracketedPrimary,logicalOr,19
parens,logicalOr,bracketedPrimary,notequals,6205
operator-precedence,binaryOr,plus2,,106
operator-precedence,multiply,minus1,tilde,6
parens,<CaseStatement>,bracketedPrimary,binaryAnd,2
parens,<IfStatement>,bracketedPrimary,field-reference,20
superfluous-parens,logicalAnd,bracketedPrimary,amper,2
operator-precedence,binaryAnd,shiftRight,,9
parens,bracketedPrimary,bracketedPrimary,logicalOr,2905
operator-precedence,equals,not,field-reference,96
superfluous-parens,notequals,bracketedPrimary,tilde,5
parens,plusAssign,bracketedPrimary,divide,145
parens,throw,bracketedPrimary,<IdExpression>,5
superfluous-parens,binaryOr,bracketedPrimary,bracketedPrimary,151
superfluous-parens,equals,bracketedPrimary,tilde,18
operator-precedence,binaryAnd,star,bracketedPrimary,187
parens,<WhileStatement>,bracketedPrimary,conditional,1
parens,binaryOrAssign,bracketedPrimary,<IdExpression>,164
parens,lessEqual,bracketedPrimary,<IdExpression>,70
parens,<Enumerator>,bracketedPrimary,modulo,2
operator-precedence,star,prefixIncr,function-call,19
operator-precedence,star,prefixDecr,<IdExpression>,1177
superfluous-parens,array-subscript,bracketedPrimary,cast,7
parens,amper,bracketedPrimary,star,175
operator-precedence,shiftRight,amper,<IdExpression>,75
parens,<ConstructorInitializer>,bracketedPrimary,assign,1
parens,plus2,bracketedPrimary,minusAssign,8
parens,minusAssign,bracketedPrimary,shiftRight,48
operator-precedence,expression-list,plus2,,490
parens,binaryOrAssign,bracketedPrimary,minus1,2
parens,minusAssign,bracketedPrimary,assign,4
parens,<CaseStatement>,bracketedPrimary,expression-list,2
operator-precedence,plus2,minus1,<IdExpression>,374
parens,<IfStatement>,bracketedPrimary,minus2,1
parens,binaryAndAssign,bracketedPrimary,greaterThan,9
operator-precedence,multiply,minus1,<TypeIdExpression>,1
parens,<IfStatement>,bracketedPrimary,binaryAndAssign,2
parens,cast,bracketedPrimary,logicalOr,26
parens,<EqualsInitializer>,bracketedPrimary,<LambdaExpression>,1
parens,logicalOr,bracketedPrimary,plusAssign,1
parens,minusAssign,bracketedPrimary,logicalOr,1
superfluous-parens,shiftLeftAssign,bracketedPrimary,field-reference,6
parens,minus1,bracketedPrimary,notequals,8
superfluous-parens,plusAssign,bracketedPrimary,greaterEqual,4
parens,plus1,bracketedPrimary,postFixIncr,2
superfluous-parens,multiplyAssign,bracketedPrimary,conditional,9
operator-precedence,binaryAnd,plus1,<IdExpression>,2
parens,equals,bracketedPrimary,star,250
superfluous-parens,binaryOrAssign,bracketedPrimary,lessThan,17
superfluous-parens,star,bracketedPrimary,<IdExpression>,327
superfluous-parens,multiplyAssign,bracketedPrimary,shiftLeft,26
operator-precedence,logicalAnd,plus2,,13
parens,<SwitchStatement>,bracketedPrimary,modulo,8
parens,pmdot,bracketedPrimary,bracketedPrimary,1
parens,postFixDecr,bracketedPrimary,field-reference,33
parens,<Enumerator>,bracketedPrimary,plus2,368
superfluous-parens,greaterEqual,bracketedPrimary,not,4
operator-precedence,expression-list,prefixDecr,field-reference,26
operator-precedence,binaryAnd,minus1,<TypeIdExpression>,6
superfluous-parens,bracketedPrimary,bracketedPrimary,throw,1
parens,amper,bracketedPrimary,bracketedPrimary,10
superfluous-parens,equals,bracketedPrimary,<LiteralExpression>,59
parens,postFixDecr,bracketedPrimary,plus2,1
operator-precedence,logicalOr,not,not,61
parens,greaterThan,bracketedPrimary,lessThan,36
parens,binaryAnd,bracketedPrimary,lessEqual,34
parens,shiftRightAssign,bracketedPrimary,minus1,2
parens,shiftLeftAssign,bracketedPrimary,star,4
superfluous-parens,binaryAnd,bracketedPrimary,prefixIncr,12
superfluous-parens,bracketedPrimary,bracketedPrimary,assign,59
parens,array-subscript,bracketedPrimary,minus2,186
parens,field-reference,bracketedPrimary,postFixIncr,165
superfluous-parens,binaryOrAssign,bracketedPrimary,array-subscript,6
parens,bracketedPrimary,bracketedPrimary,binaryAnd,18797
parens,plus2,bracketedPrimary,pmarrow,1
superfluous-parens,expression-list,bracketedPrimary,shiftRight,24
superfluous-parens,binaryOrAssign,bracketedPrimary,bracketedPrimary,50
operator-precedence,equals,multiply,,2
superfluous-parens,equals,bracketedPrimary,divide,222
superfluous-parens,assign,bracketedPrimary,shiftLeft,1734
superfluous-parens,binaryXorAssign,bracketedPrimary,minus1,1
operator-precedence,binaryAnd,minus1,tilde,1
parens,<ExpressionStatement>,bracketedPrimary,binaryOrAssign,1
parens,equals,bracketedPrimary,<LiteralExpression>,59
operator-precedence,logicalOr,not,postFixDecr,2
superfluous-parens,cast,bracketedPrimary,array-subscript,426
operator-precedence,multiply,not,minus1,2
superfluous-parens,minusAssign,bracketedPrimary,array-subscript,2
parens,modulo,bracketedPrimary,postFixIncr,18
superfluous-parens,binaryAnd,bracketedPrimary,postFixIncr,17
parens,pmarrow,bracketedPrimary,conditional,2
superfluous-parens,greaterEqual,bracketedPrimary,greaterEqual,1
parens,logicalOr,bracketedPrimary,binaryOr,10
parens,<SimpleDeclSpecifier>,bracketedPrimary,minus2,3
parens,<SimpleDeclSpecifier>,bracketedPrimary,notequals,1
superfluous-parens,minusAssign,bracketedPrimary,<TypeIdExpression>,3
operator-precedence,not,tilde,array-subscript,2
parens,<ReturnStatement>,bracketedPrimary,modulo,66
operator-precedence,shiftLeft,field-reference,,39
superfluous-parens,binaryOrAssign,bracketedPrimary,binaryOr,2322
operator-precedence,binaryAnd,star,array-subscript,5
parens,binaryXorAssign,bracketedPrimary,conditional,1
superfluous-parens,lessThan,bracketedPrimary,multiply,521
parens,cast,bracketedPrimary,postFixIncr,25
parens,conditional,bracketedPrimary,<IdExpression>,1912
parens,bracketedPrimary,bracketedPrimary,not,967
parens,prefixIncr,bracketedPrimary,field-reference,154
parens,divide,bracketedPrimary,equals,1
parens,plus1,bracketedPrimary,prefixDecr,2
operator-precedence,expression-list,greaterEqual,,12
superfluous-parens,bracketedPrimary,bracketedPrimary,logicalOr,73
operator-precedence,greaterThan,not,<IdExpression>,40
operator-precedence,minus2,minus1,array-subscript,41
parens,<Enumerator>,bracketedPrimary,binaryOr,542
parens,<EqualsInitializer>,bracketedPrimary,shiftRight,261
parens,<ForStatement>,bracketedPrimary,greaterThan,2
operator-precedence,multiply,minus1,<LiteralExpression>,1281
parens,equals,bracketedPrimary,shiftRight,698
operator-precedence,star,prefixDecr,bracketedPrimary,5
parens,expression-list,bracketedPrimary,minus2,12
parens,logicalOr,bracketedPrimary,multiply,5
operator-precedence,minus2,not,function-call,2
parens,conditional,bracketedPrimary,greaterThan,2571
parens,cast,bracketedPrimary,star,581
superfluous-parens,logicalOr,bracketedPrimary,multiply,5
superfluous-parens,star,bracketedPrimary,<LiteralExpression>,1
parens,assign,bracketedPrimary,bracketedPrimary,93
operator-precedence,shiftLeft,tilde,bracketedPrimary,14
superfluous-parens,binaryXor,bracketedPrimary,multiply,74
superfluous-parens,logicalOr,bracketedPrimary,equals,21063
operator-precedence,logicalOr,binaryAnd,,107
parens,<IfStatement>,bracketedPrimary,array-subscript,1
parens,logicalAnd,bracketedPrimary,multiply,5
parens,<ReturnStatement>,bracketedPrimary,<LiteralExpression>,45895
parens,tilde,bracketedPrimary,equals,4
parens,binaryAnd,bracketedPrimary,<LiteralExpression>,54
operator-precedence,binaryXor,tilde,bracketedPrimary,9
parens,minus2,bracketedPrimary,equals,97
superfluous-parens,binaryAndAssign,bracketedPrimary,shiftRight,17
superfluous-parens,divide,bracketedPrimary,tilde,7
parens,minus1,bracketedPrimary,equals,19
operator-precedence,expression-list,shiftRightAssign,,380
superfluous-parens,binaryXor,bracketedPrimary,lessEqual,4
operator-precedence,tilde,star,field-reference,1
operator-precedence,shiftRight,tilde,function-call,15
parens,lessThan,bracketedPrimary,multiplyAssign,5
superfluous-parens,function-call,bracketedPrimary,lessThan,80
superfluous-parens,shiftRightAssign,bracketedPrimary,shiftLeft,3
parens,conditional,bracketedPrimary,tilde,6
parens,minusAssign,bracketedPrimary,star,77
parens,binaryOrAssign,bracketedPrimary,logicalOr,40
superfluous-parens,pmarrow,bracketedPrimary,star,5
parens,equals,bracketedPrimary,<TypeIdInitializerExpression>,1
superfluous-parens,bracketedPrimary,bracketedPrimary,divide,13
operator-precedence,shiftLeft,minus1,bracketedPrimary,13
operator-precedence,star,postFixIncr,<IdExpression>,35416
parens,not,bracketedPrimary,shiftLeft,8
superfluous-parens,notequals,bracketedPrimary,shiftRight,542
parens,plusAssign,bracketedPrimary,pmdot,4
parens,binaryAnd,bracketedPrimary,field-reference,405
parens,shiftRightAssign,bracketedPrimary,shiftRight,2
parens,minus1,bracketedPrimary,star,53
superfluous-parens,bracketedPrimary,bracketedPrimary,<TypeIdExpression>,1
parens,lessThan,bracketedPrimary,equals,47
parens,shiftLeftAssign,bracketedPrimary,conditional,1
parens,<WhileStatement>,bracketedPrimary,postFixDecr,1
superfluous-parens,function-call,bracketedPrimary,<IdExpression>,27537
parens,assign,bracketedPrimary,divideAssign,2
superfluous-parens,binaryOr,bracketedPrimary,lessEqual,37
parens,<ReturnStatement>,bracketedPrimary,binaryOr,632
parens,sizeof,bracketedPrimary,sizeof,5
superfluous-parens,tilde,bracketedPrimary,cast,103
superfluous-parens,binaryOrAssign,bracketedPrimary,minus2,59
parens,binaryOr,bracketedPrimary,array-subscript,208
superfluous-parens,amper,bracketedPrimary,cast,1
parens,cast,bracketedPrimary,expression-list,29
superfluous-parens,assign,bracketedPrimary,binaryOr,3285
parens,<CaseStatement>,bracketedPrimary,multiply,18
parens,<WhileStatement>,bracketedPrimary,shiftRightAssign,5
parens,logicalAnd,bracketedPrimary,shiftRightAssign,2
parens,<ExpressionStatement>,bracketedPrimary,<CompoundStatementExpression>,3
parens,logicalAnd,bracketedPrimary,equals,23724
superfluous-parens,lessEqual,bracketedPrimary,prefixDecr,8
superfluous-parens,assign,bracketedPrimary,<IdExpression>,1222
parens,conditional,bracketedPrimary,minusAssign,10
superfluous-parens,function-call,bracketedPrimary,tilde,23
parens,cast,bracketedPrimary,field-reference,3496
operator-precedence,shiftRight,divide,,20
superfluous-parens,pmarrow,bracketedPrimary,function-call,5
parens,<ForStatement>,bracketedPrimary,field-reference,2
parens,assign,bracketedPrimary,<IdExpression>,1301
parens,<ReturnStatement>,bracketedPrimary,minus1,11425
operator-precedence,logicalAnd,minus2,,14
superfluous-parens,plus2,bracketedPrimary,postFixIncr,14
parens,conditional,bracketedPrimary,plus2,627
superfluous-parens,conditional,bracketedPrimary,new,2
superfluous-parens,shiftRight,bracketedPrimary,sizeof,1
operator-precedence,expression-list,postFixIncr,field-reference,123
superfluous-parens,logicalAnd,bracketedPrimary,postFixDecr,14
operator-precedence,shiftRight,minus1,field-reference,19
operator-precedence,binaryAnd,not,field-reference,4
parens,binaryOr,bracketedPrimary,divide,95
operator-precedence,shiftLeft,amper,field-reference,10
parens,array-subscript,bracketedPrimary,logicalOr,1
parens,equals,bracketedPrimary,binaryOr,1779
parens,binaryXor,bracketedPrimary,tilde,9
operator-precedence,plus2,prefixIncr,<IdExpression>,1
operator-precedence,minus2,minus2,,9412
parens,delete,bracketedPrimary,plus2,3
superfluous-parens,multiplyAssign,bracketedPrimary,binaryOr,4
parens,minusAssign,bracketedPrimary,divide,21
superfluous-parens,function-call,bracketedPrimary,field-reference,2148
operator-precedence,expression-list,binaryXor,,1
parens,notequals,bracketedPrimary,<LiteralExpression>,8
superfluous-parens,lessThan,bracketedPrimary,<IdExpression>,122
operator-precedence,plus2,not,field-reference,23
parens,minus2,bracketedPrimary,sizeof,43
superfluous-parens,sizeof,bracketedPrimary,<LiteralExpression>,1894
parens,plus2,bracketedPrimary,plus1,3
parens,<EqualsInitializer>,bracketedPrimary,array-subscript,10
parens,greaterEqual,bracketedPrimary,star,5
parens,amper,bracketedPrimary,<TypeIdInitializerExpression>,30
operator-precedence,expression-list,star,cast,17
operator-precedence,notequals,tilde,field-reference,2
superfluous-parens,binaryOrAssign,bracketedPrimary,<IdExpression>,164
parens,greaterEqual,bracketedPrimary,lessThan,3
parens,<EqualsInitializer>,bracketedPrimary,field-reference,54
superfluous-parens,conditional,bracketedPrimary,minus1,49
superfluous-parens,cast,bracketedPrimary,<SimpleTypeConstructorExpression>,2
parens,shiftLeft,bracketedPrimary,greaterThan,68
parens,<ReturnStatement>,bracketedPrimary,conditional,2931
superfluous-parens,expression-list,bracketedPrimary,cast,3
operator-precedence,expression-list,star,bracketedPrimary,199
parens,<SimpleDeclSpecifier>,bracketedPrimary,multiply,2
superfluous-parens,not,bracketedPrimary,array-subscript,75
superfluous-parens,binaryOr,bracketedPrimary,<LiteralExpression>,41
superfluous-parens,tilde,bracketedPrimary,array-subscript,33
parens,new,bracketedPrimary,cast,2
operator-precedence,conditional,binaryXor,,72
superfluous-parens,bracketedPrimary,bracketedPrimary,lessThan,6
superfluous-parens,shiftRight,bracketedPrimary,postFixIncr,1
parens,function-call,bracketedPrimary,minus2,1230
parens,minus1,bracketedPrimary,lessEqual,5
parens,shiftRight,bracketedPrimary,lessThan,1
parens,binaryOrAssign,bracketedPrimary,plus2,28
parens,<ConstructorInitializer>,bracketedPrimary,<LiteralExpression>,1
parens,assign,bracketedPrimary,shiftRightAssign,10
parens,minus2,bracketedPrimary,amper,14
superfluous-parens,function-call,bracketedPrimary,<SimpleTypeConstructorExpression>,1
parens,notequals,bracketedPrimary,logicalAnd,29
parens,binaryOrAssign,bracketedPrimary,modulo,2
superfluous-parens,moduloAssign,bracketedPrimary,divide,2
operator-precedence,shiftLeft,star,<IdExpression>,3598
parens,<IfStatement>,bracketedPrimary,expression-list,9
operator-precedence,minus2,minus1,star,3
parens,star,bracketedPrimary,plusAssign,15
parens,binaryOrAssign,bracketedPrimary,multiply,12
parens,postFixIncr,bracketedPrimary,function-call,4
parens,not,bracketedPrimary,lessEqual,232
parens,logicalOr,bracketedPrimary,binaryXor,39
operator-precedence,logicalAnd,lessThan,,656
superfluous-parens,not,bracketedPrimary,amper,2
superfluous-parens,moduloAssign,bracketedPrimary,shiftLeft,1
parens,<TemplateId>,bracketedPrimary,lessEqual,8
parens,star,bracketedPrimary,prefixDecr,143
superfluous-parens,shiftLeftAssign,bracketedPrimary,greaterThan,1
parens,<EqualsInitializer>,bracketedPrimary,binaryXor,25
