selection,parent-type,node-type,child-type,count
parens,cast,bracketedPrimary,minus1,75
parens,<Enumerator>,bracketedPrimary,shiftLeft,5157
parens,lessThan,bracketedPrimary,<LiteralExpression>,16
parens,<PackExpansionExpression>,bracketedPrimary,multiply,2
parens,binaryOrAssign,bracketedPrimary,shiftLeft,6416
parens,shiftLeft,bracketedPrimary,prefixDecr,5
parens,<TemplateId>,bracketedPrimary,equals,26
operator-precedence,shiftLeft,tilde,function-call,8
parens,<ReturnStatement>,bracketedPrimary,assign,206
superfluous-parens,binaryAnd,bracketedPrimary,shiftRight,22107
parens,divideAssign,bracketedPrimary,binaryAnd,2
superfluous-parens,logicalAnd,bracketedPrimary,function-call,965
parens,binaryXor,bracketedPrimary,minus1,1
superfluous-parens,moduloAssign,bracketedPrimary,minus2,5
superfluous-parens,minus1,bracketedPrimary,tilde,1
superfluous-parens,logicalAnd,bracketedPrimary,binaryXor,57
parens,<SimpleDeclSpecifier>,bracketedPrimary,shiftLeft,2
operator-precedence,minus2,minus1,field-reference,55
superfluous-parens,function-call,bracketedPrimary,logicalAnd,176
superfluous-parens,function-call,bracketedPrimary,<LiteralExpression>,10360
operator-precedence,lessEqual,tilde,<IdExpression>,4
parens,sizeof,bracketedPrimary,bracketedPrimary,17
superfluous-parens,pmdot,bracketedPrimary,cast,1
parens,<FieldDeclarator>,bracketedPrimary,multiplyAssign,1
operator-precedence,plus2,star,star,6
superfluous-parens,array-subscript,bracketedPrimary,star,35
operator-precedence,binaryAnd,star,star,20
parens,amper,bracketedPrimary,plus2,5
superfluous-parens,assign,bracketedPrimary,field-reference,1203
parens,minus1,bracketedPrimary,bracketedPrimary,3
operator-precedence,minus2,not,bracketedPrimary,32
operator-precedence,binaryOr,greaterEqual,,1
superfluous-parens,minus1,bracketedPrimary,prefixIncr,1
superfluous-parens,binaryAnd,bracketedPrimary,shiftLeft,12412
parens,modulo,bracketedPrimary,notequals,1
parens,binaryAnd,bracketedPrimary,shiftRight,22124
parens,greaterEqual,bracketedPrimary,binaryXor,34
operator-precedence,not,minus1,<IdExpression>,2
parens,binaryXor,bracketedPrimary,plus2,174
operator-precedence,binaryOr,shiftLeft,,34
operator-precedence,expression-list,plusAssign,,2882
parens,conditional,bracketedPrimary,function-call,474
superfluous-parens,assign,bracketedPrimary,binaryOrAssign,13
parens,binaryAnd,bracketedPrimary,binaryOrAssign,2
parens,<IfStatement>,bracketedPrimary,<CompoundStatementExpression>,1
superfluous-parens,modulo,bracketedPrimary,field-reference,41
operator-precedence,divide,tilde,<IdExpression>,14
superfluous-parens,function-call,bracketedPrimary,not,144
parens,<PackExpansionExpression>,bracketedPrimary,equals,1
parens,assign,bracketedPrimary,prefixIncr,5
parens,function-call,bracketedPrimary,<SimpleTypeConstructorExpression>,1
parens,binaryOrAssign,bracketedPrimary,binaryOrAssign,7
parens,<SimpleDeclSpecifier>,bracketedPrimary,<UnaryExpression>,1
operator-precedence,binaryAnd,divide,,31
parens,assign,bracketedPrimary,binaryXor,89
superfluous-parens,shiftLeft,bracketedPrimary,divide,497
superfluous-parens,sizeof,bracketedPrimary,<SimpleTypeConstructorExpression>,15
operator-precedence,multiply,not,array-subscript,4
superfluous-parens,cast,bracketedPrimary,plus1,2
